"","PLAYERNAME","ESPNID","url"
"123","Garrett Atkins",5507,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5507.png"
"124","Phillippe Aumont",29501,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29501.png"
"125","Tyler Austin",32161,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32161.png"
"126","Xavier Avery",30827,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30827.png"
"127","Alex Avila",30115,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30115.png"
"128","Luis Avilan",31465,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31465.png"
"129","Mike Aviles",29145,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29145.png"
"130","Dylan Axelrod",29727,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29727.png"
"131","John Axford",30378,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30378.png"
"132","Luis Ayala",5389,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5389.png"
"133","Erick Aybar",6522,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/6522.png"
"134","Akil Baddoo",40634,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40634.png"
"135","Burke Badenhop",29090,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29090.png"
"136","Harrison Bader",35062,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35062.png"
"137","Javier Baez",32127,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32127.png"
"138","Michel Baez",36102,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36102.png"
"139","Pedro Baez",30694,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30694.png"
"140","Andrew Bailey",30096,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30096.png"
"141","Brandon Bailey",36538,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36538.png"
"142","Homer Bailey",28668,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/28668.png"
"143","Jeff Baker",5371,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5371.png"
"144","John Baker",29183,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29183.png"
"145","Scott Baker",6261,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/6261.png"
"146","Jordan Balazovic",41190,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41190.png"
"147","Collin Balester",28967,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/28967.png"
"148","Grant Balfour",4811,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4811.png"
"149","Anthony Banda",34542,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34542.png"
"150","Jett Bandy",32056,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32056.png"
"151","Manny Banuelos",31123,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31123.png"
"152","Rod Barajas",4207,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4207.png"
"153","Daniel Bard",30158,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30158.png"
"154","Luke Bard",38317,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/38317.png"
"155","Joe Barlow",41741,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41741.png"
"156","Scott Barlow",32156,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32156.png"
"157","Clint Barmes",5798,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5798.png"
